,B.IPE_open,B.IPE_high,B.IPE_low,B.IPE_close,B.IPE_volume
2023-04-21,80.79,82.05,80.45,81.75,196854.0
2023-04-24,81.67,82.8,80.3,82.32,245656.0
2023-04-25,82.39,82.88,80.21,80.6,313313.0
2023-04-26,80.71,81.36,77.5,77.8,540610.0
2023-04-27,77.88,78.55,77.36,78.31,437402.0
2023-04-28,78.27,80.53,77.51,80.26,417058.0
2023-05-04,71.28,73.72,71.28,72.54,362233.0
2023-05-05,72.69,75.75,72.41,75.37,265072.0
2023-05-08,75.23,77.43,74.95,76.61,185745.0
2023-05-09,76.71,77.5,75.07,77.28,283410.0
2023-05-10,77.36,77.6,75.68,76.59,311373.0
2023-05-11,76.62,77.41,74.61,75.43,345164.0
2023-05-12,75.35,75.85,74.03,74.17,259217.0
2023-05-15,74.15,75.75,73.49,75.56,240518.0
2023-05-16,75.55,75.95,74.5,74.75,216202.0
2023-05-17,74.67,77.31,74.1,76.78,297062.0
2023-05-18,76.78,76.99,75.5,75.95,232004.0
2023-05-19,76.03,77.5,75.12,75.59,240530.0
2023-05-22,75.63,76.46,74.55,75.94,241964.0
2023-05-23,76.15,77.74,75.65,77.5,287230.0
2023-05-24,77.7,78.66,77.03,78.34,285991.0
2023-05-25,78.21,78.39,75.05,76.14,275250.0
2023-05-26,76.01,77.32,75.66,77.17,311155.0
2023-05-29,77.42,77.83,76.16,77.1,97648.0
2023-05-30,77.04,77.59,73.32,73.87,461385.0
2023-05-31,73.84,73.95,71.5,72.13,442105.0
2023-06-01,72.15,75.25,72.03,74.32,349919.0
2023-06-02,74.28,76.5,74.18,76.4,273536.0
2023-06-05,77.68,78.73,76.31,76.6,384000.0
2023-06-06,76.55,76.75,74.72,76.12,304579.0
2023-06-07,76.22,77.64,75.51,76.8,325628.0
2023-06-08,76.8,77.68,73.58,75.52,393894.0
2023-06-09,75.53,76.57,74.71,75.04,260198.0
2023-06-12,74.87,74.87,71.58,72.11,358501.0
2023-06-13,72.11,74.66,71.94,74.19,321151.0
2023-06-14,74.05,75.49,73.03,73.61,318373.0
2023-06-15,73.41,75.97,72.91,75.63,260413.0
2023-06-16,75.64,76.74,75.08,76.26,256247.0
2023-06-19,76.4,76.93,75.34,76.13,141417.0
2023-06-20,76.12,77.15,74.51,75.42,276378.0
2023-06-21,75.54,77.24,75.52,77.03,236547.0
2023-06-26,74.6,75.0,73.61,74.47,275700.0
2023-06-27,74.45,75.08,72.33,72.91,458819.0
2023-06-28,72.69,74.42,71.86,73.83,450839.0
2023-06-29,73.95,75.15,73.57,74.39,317853.0
2023-06-30,74.33,75.84,74.28,75.19,377262.0
2023-07-03,75.11,76.6,74.56,74.96,327995.0
2023-07-04,74.89,76.29,74.74,76.12,157957.0
2023-07-05,76.03,76.95,75.3,76.53,293737.0
2023-07-06,76.7,77.09,75.03,76.51,333875.0
2023-07-07,76.52,78.54,76.03,78.17,331526.0
2023-07-10,78.6,78.77,77.36,77.79,288399.0
2023-07-11,77.82,79.5,77.63,79.35,333835.0
2023-07-12,79.32,80.55,79.21,80.2,362333.0
2023-07-13,80.19,81.75,79.88,81.54,416119.0
2023-07-14,81.64,81.7,79.53,79.63,311226.0
2023-07-17,79.36,80.64,78.25,78.56,341159.0
2023-07-18,78.52,79.99,78.19,79.82,366473.0
2023-07-19,79.84,80.93,79.17,79.54,311439.0
2023-07-20,79.33,80.27,78.66,79.62,277109.0
2023-07-21,79.78,81.24,79.65,80.89,294345.0
2023-07-24,80.69,82.9,80.25,82.49,330573.0
2023-07-25,82.6,83.47,81.94,82.79,311655.0
2023-07-26,82.8,83.43,82.2,82.62,333939.0
2023-07-27,82.78,84.09,82.59,83.43,354644.0
2023-07-28,83.28,84.5,82.85,84.29,353948.0
2023-07-31,84.42,85.58,83.91,85.23,324258.0
2023-08-01,85.24,85.91,84.21,85.68,297771.0
2023-08-02,85.86,85.99,82.74,83.38,399189.0
2023-08-03,83.46,85.41,82.36,85.25,392606.0
2023-08-04,85.31,86.65,85.06,86.15,268747.0
2023-08-07,86.23,86.73,85.03,85.91,259619.0
2023-08-08,85.79,86.34,83.32,86.18,375869.0
2023-08-09,86.0,87.65,85.91,87.51,388299.0
2023-08-10,87.39,88.1,86.2,86.33,337572.0
2023-08-11,86.37,87.35,85.84,86.73,318060.0
2023-08-14,86.53,86.71,85.5,86.23,267094.0
2023-08-15,86.12,86.68,84.29,85.08,305414.0
2023-08-16,85.2,85.36,83.13,83.37,334451.0
2023-08-17,83.2,84.88,83.05,83.9,305577.0
2023-08-18,83.88,85.08,83.33,84.83,287965.0
2023-08-21,84.8,85.86,84.31,84.59,289239.0
2023-08-22,84.46,84.66,83.85,83.89,287351.0
2023-08-23,83.99,84.26,81.94,83.07,361614.0
2023-08-24,82.59,83.23,81.61,82.77,292605.0
2023-08-25,82.77,84.41,82.18,84.3,398513.0
2023-08-28,84.24,84.69,83.56,83.84,216235.0
2023-08-29,83.82,85.07,83.28,84.94,346594.0
2023-08-30,85.04,85.68,84.59,85.29,371688.0
2023-08-31,85.22,86.88,85.08,86.82,434973.0
2023-09-01,86.82,88.99,86.74,88.99,380759.0
2023-09-04,88.95,89.22,88.26,89.0,140669.0
